virus_unid	human_unid
P04020	Q9C0F1
P04020	Q96IK5
P04020	Q96HA8
P04020	Q9BW85
P04020	Q86YD7
P04020	Q9BVC4
P04020	Q96C01
P06464	O75800
P06464	Q9UHR5
P06464	Q9Y6R0
P06464	P10276
Q84292	P13928
Q84291	P21333
Q84291	O00515
Q84291	P08962
Q84291	P04733
Q84291	Q9BRJ6
Q84291	Q86X02
Q84292	Q6P0N0
P04015	Q8NAP3
P04015	Q9Y2S7
P06430	O76050
P03129	Q9BXU7
P06788	Q8IUD6
E7BBT6	Q8WZ19
P03129	Q66K64
Q9QLP4	O00203
P06429	O00463
P06430	Q96C00
P06788	P10074
P06428	Q9UPQ7
P06788	Q8TBC3
P06788	Q13049
Q9QLP4	P07996
Q80908	Q8NCP5
E7BBT6	Q8TEY7
Q80908	Q9Y2Y4
Q80908	Q13829
Q9QLP4	Q7Z7M9
P06932	Q9BWF2
P36817	P05204
P36827	Q8WVN8
P06463	Q5VWQ8
Q9QLP4	P24752
Q9ICL1	Q12959
Q778F3	Q12959
Q9ICL0	Q08174
Q778F3	Q96QZ7
Q9ICL0	Q9Y6M5
P03116	P61956
P03116	P52294
P03122	Q96FC9
P03116	O00629
P03116	O00505
P06428	Q9NPG3
P06429	P06576
B9UPF3	P30101
P03129	P62136
P03129	P02545
P03129	P68366
P06428	Q8NI22
P06428	Q14118
P36817	Q92876
P17385	Q8N6S5
B9UPF3	Q01650
P06788	O00767
P17388	Q9BYN8
P06427	P30050
P24835	P10619
P36801	Q9UBU9
P17387	P52747
P06428	Q9H4A4
P06788	Q9UIJ7
P06428	P62249
P06459	P63165
P06428	E9PAV3
P06428	P06454
P06788	Q9BUL8
P06930	Q9Y617
P36801	Q969Z0
P17386	Q5H9R7
P17389	Q9H4B7
P06429	Q06787
P36827	O75095
P06930	Q96TA2
P17387	Q9UJX2
B9UPF3	P11166
P06459	P09884
B9UPF3	P33527
P06428	Q9NUS5
P0DKB0	Q9UQ52
P17387	Q15831
B9UPF3	Q6P1M0
P06428	Q7Z7M9
P06428	O95834
P36801	P13073
B9UPF3	P05556
P36827	Q96EK7
P06930	Q16514
P03129	P62877
P06930	P61956
P06930	P53992
P17385	Q8N0U8
B9UPF3	Q7Z434
P03129	P21333
P06930	Q9UKK9
P06428	Q5VTE0
P06788	O95190
B9UPF3	Q6PCB7
A0A220NMU2	Q99471
P06428	P28702
P03129	P23588
P36827	P27797
P17387	O60701
P06930	O95807
B9UPF3	P04844
P06932	Q15906
P36801	Q9HCN4
P17387	Q01813
P06788	P07199
B9UPF3	Q96DZ1
P36801	P26885
P24835	P61158
P17388	Q9Y3D9
P06428	O95166
P03129	O00257
P06428	P62495
P24835	Q14533
P17388	Q9Y2R5
B9UPF3	P16070
P03129	Q8N543
P17387	Q15853
B9UPF3	O15270
P06929	P61803
P03129	P30041
P06932	Q66K89
P06428	P17900
P06428	Q9P2E9
B9UPF3	Q53GQ0
P06428	P12429
P36801	Q5T1Q4
P03129	Q13426
P17387	Q8NCE2
Q9QLP4	P37108
B9UPF3	Q13308
P17387	Q8IVT5
P36801	P62979
P06428	P06748
P17384	P21333
P06428	P04183
P36801	P26373
P06929	O15372
B9UPF3	Q96S55
P36827	P62899
B9UPF3	Q9NP72
P06427	Q16563
B9UPF3	Q9BSJ8
P17382	P14625
P24835	Q5VSL9
P03129	O43298
P17388	Q92665
P06463	O15382
P03129	Q9BQE3
B9UPF3	P53801
B9UPF3	Q04721
P17385	Q9UMX0
P03129	Q9HBJ7
B9UPF3	P11717
P06428	Q9H7H0
P17387	Q53GT1
P06463	P60709
P06463	O14924
P17388	P83881
Q9QLP4	P62979
P24835	Q9BT78
P03107	Q92993
P06465	Q9NRX4
P36817	Q6IA17
P36801	P46783
B9UPF3	Q9BRK3
P06428	O00468
P17387	P08237
P36817	Q96DP5
P06427	O00217
B9UPF3	O00165
P36827	Q13438
B9UPF3	Q9UH62
Q9QLP4	Q8N3J9
P17386	Q96RG2
P06428	O14880
P03129	P30740
P17387	P13995
P36801	Q6NXG1
B9UPF3	P39656
P36801	Q9BQ15
P06932	Q9C0A6
P06932	P78417
P24835	P22695
P06463	P78385
P06428	Q9NX14
P06428	Q07065
P06428	Q9Y2V7
P06463	P04083
P06428	Q00325
P06465	Q96BJ8
P17386	Q8WVX9
P06422	P0DP23
P06932	Q9BZZ5
P17389	P34932
P06430	Q99549
P03129	Q96RI1
B9UPF3	Q8TCJ2
B9UPF3	P60468
P03129	Q96SY0
P17387	P53007
Q9QLP4	P38646
P24835	P21912
B9UPF3	P42892
P24835	Q15365
P17387	Q53GQ0
Q9QLP4	Q8NBN3
P06430	Q9Y2L1
P06428	Q96DU7
P17385	O14980
P06929	O43278
P36817	P15954
P06428	P46782
P06428	O95428
P06428	P62753
B9UPF3	O95816
P17382	Q9BV38
B9UPF3	Q8NC54
P06428	Q1MSJ5
P06428	P04899
P17387	Q96SB8
P06932	Q6P1X5
B9UPF3	Q99653
P36801	Q86X29
P17386	Q96D09
B9UPF3	P42166
P17382	Q8TAF3
Q9QLP4	Q13950
P06930	Q06481
P17389	Q07021
P24835	P63244
P36817	Q14192
P36801	Q96MM3
P06463	O75970
P06430	Q96DB9
P17385	Q5VYK3
P03129	P11142
P17388	P29558
P17388	Q07666
B9UPF3	Q9BPW8
P17387	Q92738
P03129	Q99496
P03129	O95807
B9UPF3	Q9Y5G0
P17387	P43250
P17389	P27708
P36827	P62263
B9UPF3	Q9UBU6
P03129	P50991
P17388	P82933
P17388	Q02539
P03129	Q8TEA8
P06463	P11021
P06930	P63261
B9UPF3	P10909
P17386	Q9UPY3
P06428	O43929
P06428	P67809
P36817	Q14181
P06428	Q15369
P06930	Q15038
P03129	P14174
P06429	Q14696
B9UPF3	Q8NEW0
P17387	Q99755
P06463	Q13796
P06932	P30050
P06429	P00156
P36801	P37108
P06461	Q08431
B9UPF3	O96005
B9UPF3	Q5T9L3
A0A220NMU2	Q15831
B9UPF3	Q9UHG3
P03129	Q9Y3A3
P06788	O95235
P24835	P0DP58
P06428	Q9NVR2
P17388	Q5JTH9
P17385	P25686
B9UPF3	P35998
P06428	P55010
P06788	Q13432
P17388	Q9BUJ2
P06788	O75369
P06428	P00414
P36817	Q99615
P06463	Q9HCE9
P24835	Q86W33
P36817	Q9UHV5
P17385	P50502
P17387	Q6NSJ2
B9UPF3	Q96EY1
P36799	Q09161
B9UPF3	Q71UM5
B9UPF3	Q9NVI7
P17385	P10321
P03129	Q9C026
P06465	P54725
P17388	Q99733
P36827	P55769
P06929	Q9Y3B6
B9UPF3	Q53EP0
P24835	Q3B726
P06428	Q9UKM7
P03129	O00268
B9UPF3	Q8IV08
P17389	P22695
P06429	Q96BJ3
P36801	P37837
P06463	Q5T5U3
P17386	Q96JN8
B9UPF3	Q8NBP0
P06427	P02795
P17385	P43487
P36801	Q9UBZ9
P17388	Q15365
P06459	O75925
B9UPF3	Q08431
P06428	P62424
P17388	Q96GQ7
P06428	Q96CT7
P03129	Q92804
B9UPF3	Q9UJ14
P17385	P60604
P06932	Q16514
P17387	Q13615
P36801	Q9NQ40
P06428	Q00587
P17385	O43765
P06428	Q9UIG8
P06930	Q9NZN4
P03129	Q5UIP0
P06463	Q68DX3
P17382	Q9Y4W2
P06930	Q96N11
P17388	Q96HS1
P06463	Q16512
P06465	Q96N11
P06930	P12814
P06788	Q04637
B9UPF3	O00483
P17387	Q02086
P24835	P78545
P06427	P28838
P03129	Q96CA5
B9UPF3	P30530
P06428	P21589
P17385	P46379
B9UPF3	O00264
P36801	Q96FE7
P06428	P31946
P06429	Q9UDY2
P06428	Q9H1Z4
P17389	Q8IZU8
P17385	P31948
P24835	Q15014
P03129	Q9BZX2
P06788	O14957
P06427	Q14696
P24835	P55265
P17389	Q9UNF1
P17385	Q9NYP7
P17386	Q9BQ70
B9UPF3	Q70UQ0
B9UPF3	P35606
P03129	Q9HC78
P17385	Q9H3U1
P17385	Q9NRR5
P06930	Q02878
P06929	Q99538
B9UPF3	Q9P0L0
P06428	Q15185
P03129	Q9Y230
B9UPF3	Q969G5
P06463	Q14203
P17385	P40616
P06463	Q8TBZ0
B9UPF3	O14735
P36817	Q9H8M7
P06930	Q6P2Q9
P03129	Q5VTE0
B9UPF3	Q6PIU2
P17387	Q96EV2
B9UPF3	Q9HC07
P24835	Q8IWZ3
P06930	Q12796
B9UPF3	Q99460
P06428	P25398
P36817	Q8WUJ0
Q9QLP4	Q8NEM0
P06930	Q9NX07
P03129	Q8IYM9
P36801	P13647
P17389	O75746
B9UPF3	Q9NX63
B9UPF3	Q9Y6C9
P36801	Q96GD4
B9UPF3	Q8IWT6
P36801	P40313
P06428	P11766
P06429	Q14202
B9UPF3	Q16585
P06932	Q9Y696
P36817	P41247
P36817	O75570
P06428	O75964
P06929	P05109
P17387	P08047
B9UPF3	Q96TC7
P17387	P54886
P17388	P40227
B9UPF3	Q96N66
P17387	P31350
P17388	P16989
B9UPF3	Q8TB36
P06429	P00505
P06428	Q96RN5
P03129	Q96TC7
P24835	Q9GZR2
P06929	Q96LL9
P06929	Q5T1M5
P06430	Q14106
P06930	P22570
P06427	Q99623
P17387	Q7RTN6
P06930	Q15434
P36817	Q15361
P03129	Q15366
P36801	P60468
P17387	Q8WVD3
P06428	Q15003
P03129	P61968
P06465	P15311
B9UPF3	Q16891
P06930	P25685
P17387	O43663
P17385	P35606
P06427	O95377
P06463	Q9H840
P17388	Q9NW13
P03129	Q16533
P06927	P01889
P36801	A0FGR8
P06463	Q7L5N1
P17382	Q9Y4L1
P17386	Q9UPN7
P36801	Q9HCL3
P06428	P03973
P06927	Q9Y6M5
P24835	Q8WVP5
P03129	Q9BQA1
B9UPF3	O15173
B9UPF3	P46977
P24835	Q9BRV3
P17388	Q96B23
